id,date,text,word_count,char_count,avg_word_length,length_cluster,length_cluster_label,length_cluster_center_words,text_clean,cluster,filtered_out,filtered_pass
131754,2025-05-20T09:29:34+00:00," 
 
 
siapa mau bantu aku pilihan outfit? please butuh saran kalian banget, thank you",13,79,5.0,0,pendek,9.3,siapa mau bantu aku pilihan outfit please butuh saran kalian banget thank you,4,False,
113508,2024-12-14T04:24:28+00:00,"#Orangbumi 
 
 
maaf ya gayss aku gak jelas soalnya yang jelas cuma cintaku kepada ni-ki",15,83,4.533,0,pendek,9.3,maaf ya gays aku tidak jelas soalnya yang jelas cuma cintaku kepada ni ki,0,False,
141492,2025-12-22T00:15:46+00:00," 
 
 
#random 

gua join ni menfess dri 2023 haha, skrng udh sepi aja ni menfess",14,72,4.071,0,pendek,9.3,gua join ni menfes dri 2023 haha skrng udh sepi saja ni menfes,3,False,
123067,2025-02-13T07:24:22+00:00," 
 
 
ni yang bener nisfu sya'ban kapan sii😭😭😭",8,40,3.75,0,pendek,9.3,ni yang bener nisfu sya ban kapan si,3,False,
109076,2024-11-24T09:47:08+00:00," 
 
 
gays, cowo kalian suka ngeluh gaa kalo lagi gada duit?",10,54,4.3,0,pendek,9.3,gays cowo kalian suka ngeluh tidak kalo lagi gada duit,0,False,
103649,2024-10-22T04:23:49+00:00,"#Zopu 
 
 
Hai guysss!!
Udah lama ga buka menfess makin rame ajah deh🤩",12,65,4.167,0,pendek,9.3,hai guys udah lama tidak buka menfes makin rame ajah deh,3,False,
125299,2025-03-07T04:10:34+00:00," 
 
 
dri kmrin hoek hoek trus knpa niii",7,34,4.0,0,pendek,9.3,dri kmrin hoek hoek trus knpa ni,3,False,
116424,2024-12-25T12:31:29+00:00," 
 
 
hey hey hey hey hey hey hey hey hey hey tayo",11,44,3.091,0,pendek,9.3,hey hey hey hey hey hey hey hey hey hey tayo,3,False,
122054,2025-02-02T23:50:20+00:00," 
 
 
Selamat pagii, semangat pagiii dan jangan lupa berak",8,52,5.5,0,pendek,9.3,selamat pagi semangat pagi dan jangan lupa berak,1,False,
140585,2025-11-18T07:50:51+00:00,"#soulearm 
 
 
hai all, aku baru downlod tl lagi setelah berbulan-bulan",11,66,4.909,0,pendek,9.3,hai al aku baru downlod tl lagi setelah berbulan bulan,2,False,
112809,2024-12-11T14:01:54+00:00,"#Liminho 
 
 
Tiba tiba gw panik attack, nggak enak banget sumpah ini",11,64,4.727,0,pendek,9.3,tiba tiba gw panik attack tidak enak banget sumpah ini,2,False,
142453,2026-01-22T01:36:46+00:00," 
 
 
#random 

Yang cowo send foto kalian dong nanti ku kasih 20k, (orang jawa ya)",14,75,4.143,0,pendek,9.3,yang cowo send foto kalian dong nanti ku kasih 20k orang jawa ya,1,False,
123931,2025-02-22T15:11:00+00:00,"#Ays 
 
 
Facial wash senka bagus gaaa? Info dong info",9,49,4.333,0,pendek,9.3,facial wash senka bagus tidak info dong info,4,False,
125784,2025-03-11T08:09:06+00:00," 
 
 
bru sadar story tele uda ga bisa bjir harus prem",10,48,3.9,0,pendek,9.3,bru sadar story tele uda tidak bisa bjir harus prem,2,False,
123503,2025-02-17T09:29:11+00:00," 
 
 
baru pulang sekolah aja uda di fitnah habisin makanan dahal gue lagi puasa woyy",14,79,4.714,0,pendek,9.3,baru pulang sekolah saja uda di fitnah habisin makanan dahal gue lagi puasa woy,1,False,
119249,2025-01-09T16:02:31+00:00," 
 
 
https://t.me/sansfess/119241 gw reply swny, dan gw di block 😁",12,61,3.75,0,pendek,9.3,gw reply swny dan gw di block,3,False,
130932,2025-05-10T12:17:57+00:00," 
 
 
kalian main tele ngapain ajaa??",5,31,5.0,0,pendek,9.3,kalian main tele ngapain saja,4,False,
110410,2024-12-01T02:45:08+00:00,"#jaehyun 
 
 
ada yg punya saldo ovo 5k ga, gantii pke shopeepay",11,59,4.273,0,pendek,9.3,ada yang punya saldo ovo 5k tidak ganti pke shopeepay,4,False,
139457,2025-10-12T11:54:34+00:00," 
 
 
sapa yang main fish it? mending beli rod hazmat atau ares?",11,58,4.182,0,pendek,9.3,sapa yang main fish it mending beli rod hazmat atau ares,1,False,
122079,2025-02-03T08:44:49+00:00," 
 
 
halooo gayss, mintaa tolongg dongg buatin caption lucu gitu buat jualan tahu bakso topping sama es cappucino cincau 👉🏻👈🏻",18,120,5.389,0,pendek,9.3,halo gays minta tolong dong buatin caption lucu gitu buat jualan tahu bakso topping sama es cappucino cincau,1,False,
122280,2025-02-05T08:53:36+00:00,"#jjdidh 
 
 
spill harga fotografer yearbook kalian dong, + buku angkatan nya ya",11,75,5.545,0,pendek,9.3,spil harga fotografer yearbook kalian dong buku angkatan nya ya,4,False,
129573,2025-04-20T13:10:15+00:00,"#bingung 
 
 
udah cape sama semuanya pengen meninggal gua",8,53,5.625,0,pendek,9.3,udah cape sama semuanya pengen meninggal gua,2,False,
105520,2024-11-02T03:17:56+00:00," 
 
 
17 taun bole pake retinol ga?",6,29,3.833,0,pendek,9.3,17 taun bole pake retinol tidak,4,False,
107156,2024-11-12T12:26:25+00:00,"#koi-chyy 
 
 
Rekomendasi laptop yg bagus dong",7,42,5.0,0,pendek,9.3,rekomendasi laptop yang bagus dong,4,False,
106989,2024-11-11T11:55:33+00:00,"#itoshida 
 
 
i pls aku bangun dari kasur langsung jingkrak jingkrik anjir😭 karna seneng bisa dapet nomor guru itu",18,110,5.056,0,pendek,9.3,i pls aku bangun dari kasur langsung jingkrak jingkrik anjir karna seneng bisa dapet nomor guru itu,2,False,
124290,2025-02-26T14:01:54+00:00," 
 
 
dulu biasanya jam segini kita chatan random sampe sleep callan, sekarang?...☹️, cape bgt butuh someone to talk",17,110,5.059,0,pendek,9.3,dulu biasanya jam segini kita chatan random sampe sleep callan sekarang cape banget butuh someone to talk,1,False,
126031,2025-03-13T10:44:54+00:00," 
 
 
iiiish plis lah mw bukber tp paket gw blm dtg anjir takut bgt dtg nya pas udah lewat bukber",19,91,3.842,0,pendek,9.3,iiiish plis lah mw bukber tapi paket gw belum dtg anjir takut banget dtg nya pas udah lewat bukber,2,False,
141001,2025-12-01T15:59:55+00:00,"#bot 


 

Ciamis Jabar terletak di mana",6,34,4.667,0,pendek,9.3,ciamis jabar terletak di mana,3,False,
130557,2025-05-04T23:30:17+00:00," 
 
 
mending di bilang ""kok kamu diem aja?"" Atau dibilang ""dih sok asik""",12,67,4.25,0,pendek,9.3,mending di bilang kok kamu diem saja atau dibilang dih sok asik,2,False,
139229,2025-10-04T08:51:45+00:00,"#apayagtw 
 
 
guys ada yg pernah ng link di alfamart ga? aku mau nanya' soal bikin akun alfakarir
#anon_sansfes",18,107,4.778,0,pendek,9.3,guys ada yang pernah ng link di alfamart tidak aku mau nanya soal bikin akun alfakarir,4,False,
109949,2024-11-28T14:49:46+00:00," 
 
 
Wahh sudah lama sekali saya tidak mengirim menfess🗿",8,51,5.375,0,pendek,9.3,wah sudah lama sekali saya tidak mengirim menfes,0,False,
116514,2024-12-25T15:23:02+00:00," 
 
 
https://t.me/sansfess/116511

Atau nikah aja buruan. Biar bisa progres ngobrolin tuh pernikahan dan keluarga mau dibawa kemana",20,125,5.15,0,pendek,9.3,atau nikah saja buruan biar bisa progres ngobrolin tuh pernikahan dan keluarga mau dibawa kemana,0,False,
105863,2024-11-03T14:57:59+00:00," 
 
 
malem senin rasane sirah ws gringgingen",6,39,5.667,0,pendek,9.3,malem senin rasane sirah ws gringgingen,1,False,
129148,2025-04-14T12:36:08+00:00,"#cipcip 
 
 
hayiie gais bosen ga sih ?",6,34,4.333,0,pendek,9.3,hayiie gais bosen tidak sih,0,False,
111924,2024-12-08T02:30:47+00:00," 
 
 
https://t.me/sansfess/111922?comment=126665 lo diem deh gue cincang juga kontol lo",15,82,4.4,0,pendek,9.3,lo diem deh gue cincang juga kontol lo,3,False,
142180,2026-01-12T08:12:42+00:00," 
 
 
#random 
ada ga si freelance gitu yg bener"" ngasilin",9,51,4.556,0,pendek,9.3,ada tidak si freelance gitu yang bener ngasilin,4,False,
116304,2024-12-24T17:12:56+00:00,"#Nyuak 
 
 
tolongg gue bisaa ga anjir, ni bapa bapak umur 36 dketin guee😭😭",13,70,4.154,0,pendek,9.3,tolong gue bisa tidak anjir ni bapa bapak umur 36 dketin gue,3,False,
123494,2025-02-17T06:24:05+00:00," 
 
 
Greget banget woii nonton series cinta mati",7,43,5.286,0,pendek,9.3,greget banget woi nonton series cinta mati,0,False,
119299,2025-01-10T09:08:18+00:00," 
 
 
kesel ga sih
udah punya pacar tapi
pas mantan lewat temen lu selalu cie cie in seakan belum mupon anying",20,104,4.25,0,pendek,9.3,kesel tidak sih udah punya pacar tapi pas mantan lewat temen lu selalu cie cie in seakan belum mupon anying,0,False,
126911,2025-03-21T09:12:37+00:00," 
 
 
gw gamon dia juga gamonin gw, tpi gw udah punya pacar, pengen bgtt balikan tpi kita beda tuhan",18,94,4.167,0,pendek,9.3,gw gamon dia juga gamonin gw tpi gw udah punya pacar pengen banget balikan tpi kita beda tuhan,0,False,
108674,2024-11-22T11:13:58+00:00," 
 
 
https://t.me/sansfess/108673

Mana ngayal psti dapet 1M trus udh direncanain mo bli apa aja 🤣",17,92,4.235,0,pendek,9.3,mana ngayal psti dapet 1m trus udh direncanain mo bli apa saja,3,False,
103981,2024-10-23T16:03:26+00:00," 
 
 
ayoo liat wa kaliann,udh bisa tag kalo up sw,bisa direpost juga",13,63,3.923,0,pendek,9.3,ayo liat wa kalian udh bisa tag kalo up sw bisa direpost juga,1,False,
119414,2025-01-11T08:10:24+00:00," 
 
 
dia ga pnya wktu?kta luangin buat yg lain",9,41,3.667,0,pendek,9.3,dia tidak pnya wktu kta luangin buat yang lain,1,False,
119620,2025-01-13T06:06:25+00:00,"#yjii 
 
 
cht sex itu gimana bjir",6,29,3.833,0,pendek,9.3,cht sex itu gimana bjir,0,False,
143461,2026-02-15T14:29:56+00:00," 
 
 
kenapa ayam kakinya 2? karena aku suka kamu",8,43,4.375,0,pendek,9.3,kenapa ayam kakinya 2 karena aku suka kamu,0,False,
132023,2025-05-24T14:57:17+00:00," 
 
 
kalian suka journalling ga? 
klo iya, apa alasannya?",8,51,5.125,0,pendek,9.3,kalian suka journalling tidak klo iya apa alasannya,2,False,
144301,2026-03-07T03:11:48+00:00," 
 
 
Jadi pengen kaya mama mama itu
Still productive even has two daughters 🥰",12,72,4.917,0,pendek,9.3,jadi pengen kaya mama mama itu stil productive even has two daughters,0,False,
112245,2024-12-09T11:43:03+00:00,"#Agss 
 
 
Gais ini scam bukan yaa",6,29,3.833,0,pendek,9.3,gais ini scam bukan ya,4,False,
119275,2025-01-10T05:50:56+00:00," 
 
 
Pliss yg punya link am pro kasih gue",8,36,3.625,0,pendek,9.3,plis yang punya link am pro kasih gue,1,False,
119686,2025-01-13T14:01:40+00:00,"#ctrlz 
 
 
disuruh nenangin diri sama orang yang ngga ngertiin kita, malahan gue yang ngertiin teruss",15,97,5.4,0,pendek,9.3,disuruh nenangin diri sama orang yang tidak ngertiin kita malahan gue yang ngertiin terus,2,False,
135556,2025-07-24T14:32:39+00:00," 
 
 
ada yang mau aku ajarin frelance ga",7,35,4.143,0,pendek,9.3,ada yang mau aku ajarin frelance tidak,1,False,
128669,2025-04-08T18:34:32+00:00," 
 
 
AKU PENGEN TIDURRRRR, MASAAA AKU HARUS NGANTUK DISEKOLAH",8,56,6.0,0,pendek,9.3,aku pengen tidur masa aku harus ngantuk disekolah,3,False,
120348,2025-01-19T08:54:24+00:00,"#Liminho 
 
 
Pilihan ku udah tepat belum ya hapus kontak mantan, hapus pertemanan dari semua sosmed",15,95,5.267,0,pendek,9.3,pilihan ku udah tepat belum ya hapus kontak mantan hapus pertemanan dari semua sosmed,0,False,
116047,2024-12-23T14:52:38+00:00," 
 
 
ngantuk, mau bobo tapi belum diucapin ""good night"" sama dia",10,59,4.7,0,pendek,9.3,ngantuk mau bobo tapi belum diucapin good night sama dia,1,False,
129402,2025-04-18T02:53:10+00:00," 
 
 
plis ajarin gue freelance yg gratiss,gue mau ngasilin duit biar g beban beban bngt jdi anak🙁",17,92,4.412,0,pendek,9.3,plis ajarin gue freelance yang gratis gue mau ngasilin duit biar tidak beban beban bngt jdi anak,4,False,
