id,date,text,word_count,char_count,avg_word_length,length_cluster,length_cluster_label,length_cluster_center_words,text_clean,cluster
124134,2025-02-24T15:47:54+00:00," 
 
 
jdii gue pernh ikut nongki sekali sama abng gue dan temen' nya,jadi temen nya ngeroko,asap nya ke arah gue,trs gue kya ngipasin diri krna gatau knpa kena asap rokok itu buat sesak,nah jdi ada beberapa cwe yng ikut nongki,mereka ngatain ""iwh pick me bgt,kena asap doang"" kek pen gue maki' anjenggg,ya bedaa lu tiap hari ngisapin vapee/roko,beda sma gue yng benci sma hal itu,kocak bgt bitch",76,389,4.079,2,menengah,77.595,jdi gue pernh ikut nongki sekali sama abng gue dan temen nya jadi temen nya ngeroko asap nya ke arah gue trs gue kya ngipasin diri krna gatau knpa kena asap rokok itu buat sesak nah jdi ada beberapa cwe yng ikut nongki mereka ngatain iwh pick me banget kena asap doang kek pen gue maki anjeng ya beda lu tiap hari ngisapin vape roko beda sma gue yng benci sma hal itu kocak banget bitch,0
119986,2025-01-16T11:10:51+00:00,"#anon 

Kesel banget udah disuruh rujukan ke RS, pas sampe sana nunggu lama karena harus ngambil nomer antrian trus nunggu di panggil di administrasi, eh pas ke bagian selanjutnya malah di bilang ini diagnosa sama rujukan nya dokternya ga sinkron, jadi ga bisa. Dalam hati ( anjirr gw udh nunggu lama eh tau nya di kasih tau sama perawat nya ga nyambung antara rujukan sama diagnosa, dokter macam apa bisa sampe salah rujukan gitu anjirr😭 waktu gw terbuang sia sia 😭

===
✉️ Kirimin Aku Pesan Rahasia",83,497,4.783,2,menengah,77.595,kesel banget udah disuruh rujukan ke rs pas sampe sana nunggu lama karena harus ngambil nomer antrian trus nunggu di panggil di administrasi eh pas ke bagian selanjutnya malah di bilang ini diagnosa sama rujukan nya dokternya tidak sinkron jadi tidak bisa dalam hati anjir gw udh nunggu lama eh tau nya di kasih tau sama perawat nya tidak nyambung antara rujukan sama diagnosa dokter macam apa bisa sampe salah rujukan gitu anjir waktu gw terbuang sia sia,-1
127980,2025-03-31T15:29:10+00:00," 
 
 
Eh gimana nih, aku kan belanja online nih, ada 3 paket yang dipesen sama harinya, nah 2 ini udah mau nyampe nih, but 1 lagi tuh belom dikirim sampe sekarang, kondisinya disini, barang itu yang di perlukan banget daripada 2 paket lainnya nih, niatnya mau dibatalin terus beli di toko lain kan, ehh katanya nunggu persetujuan toko dulu, aku chat tokonya juga ga dibales, gimana yak? Pesen langsung dari toko lain sih bisa, cuma ntar kalau paket yang ini ikut dikirim juga gimana? Kan berabeeee, ga guna juga banyak banyak.",90,520,4.622,2,menengah,77.595,eh gimana nih aku kan belanja online nih ada 3 paket yang dipesen sama harinya nah 2 ini udah mau nyampe nih but 1 lagi tuh belom dikirim sampe sekarang kondisinya disini barang itu yang di perlukan banget daripada 2 paket lainnya nih niatnya mau dibatalin terus beli di toko lain kan eh katanya nunggu persetujuan toko dulu aku chat tokonya juga tidak dibales gimana yak pesen langsung dari toko lain sih bisa cuma ntar kalau paket yang ini ikut dikirim juga gimana kan berabe tidak guna juga banyak banyak,-1
131674,2025-05-19T13:04:57+00:00,"#anon 

td gua bilang ke sahabat smp dlu gua gini  ""kira' nanti gua bisa masuk oxford ga ya 😔😔"" eh dia malah blg ""jangan, makin ga bener lh disitu, lu kan ikut ikut"" gua tau dia khawatir karena takut gua jadi orang yg tersesat karena kan emg ya se* diluar negeri itu bebas tapi kan gua jg bakal inget sm tujuan gua itu buat apa 😭😭😭😭😭😭

===
✉️ Kirimin Aku Pesan Rahasia",68,364,3.985,2,menengah,77.595,td gua bilang ke sahabat smp dlu gua gini kira nanti gua bisa masuk oxford tidak ya eh dia malah blg jangan makin tidak bener lh disitu lu kan ikut ikut gua tau dia khawatir karena takut gua jadi orang yang tersesat karena kan emg ya se diluar negeri itu bebas tapi kan gua juga bakal inget sama tujuan gua itu buat apa,0
114474,2024-12-17T11:07:53+00:00,"#mlkyesh 
 
 
[17/12 17.11] .: km gda niatan mau ke solo lgi?
[17/12 17.13] mas ex: Ada
[17/12 17.13] mas ex: Tapi belum tau kapan
[17/12 17.13] .: oh
[17/12 17.13] mas ex: Kenapa emang?
[17/12 17.14] .: gpp nnya aj
[17/12 17.14] mas ex: Km kgn ak y
[17/12 17.14] .: g
[17/12 17.23] mas ex: Km blm pny cwk bru kn 👉🏼👈🏼
[17/12 17.23] .: blm
[17/12 17.24] .: km gmn?
[17/12 17.24] mas ex: Blm jg

SEBENARNYA KANGENNN KANGENN BGTTT!!!",99,424,2.687,2,menengah,77.595,17 12 17 11 km gda niatan mau ke solo lgi 17 12 17 13 mas ex ada 17 12 17 13 mas ex tapi belum tau kapan 17 12 17 13 oh 17 12 17 13 mas ex kenapa emang 17 12 17 14 gp nnya saja 17 12 17 14 mas ex km kgn ak y 17 12 17 14 tidak 17 12 17 23 mas ex km belum pny cwk bru kn 17 12 17 23 belum 17 12 17 24 km gmn 17 12 17 24 mas ex belum juga sebenarnya kangen kangen banget,-1
120590,2025-01-21T03:13:42+00:00," 
 
 
gue udah di tahap muak banget sama keluarga dia. belain anaknya kaya lagi bela tuhan. udah tau anaknya salah yang dijelekin malah gue. tadi gue ambil semua uang tabungannya, gue balikin duit sekaligus cincin yang dikasih. padahal selama ini tu duit ga pernah gue maling, cincin juga gue simpen. mentang-mentang gue pengangguran dikira gue ga pernah ngasih apa-apa ke adeknya. gue dibilang bakalan nyesel kalau ngelepasin anaknya karena anaknya udah royal ke gue. terus kalau udah royal bisa bebas ngelakuin hal yang bikin cewenya sakit hati?? mana ga ngerasa bersalah semua anjing. seakan-akan gue yang terlalu ngebesarin masalah padahal anaknya yang gatau diri.",106,662,5.132,2,menengah,77.595,gue udah di tahap muak banget sama keluarga dia belain anaknya kaya lagi bela tuhan udah tau anaknya salah yang dijelekin malah gue tadi gue ambil semua uang tabungannya gue balikin duit sekaligus cincin yang dikasih padahal selama ini tu duit tidak pernah gue maling cincin juga gue simpen mentang mentang gue pengangguran dikira gue tidak pernah ngasih apa apa ke adeknya gue dibilang bakalan nyesel kalau ngelepasin anaknya karena anaknya udah royal ke gue terus kalau udah royal bisa bebas ngelakuin hal yang bikin cewenya sakit hati mana tidak ngerasa bersalah semua anjing seakan akan gue yang terlalu ngebesarin masalah padahal anaknya yang gatau diri,-1
127297,2025-03-24T15:23:05+00:00,"#Syah 
 
 
Aneh ya, pas bukber hari itu kan pulang sampai malam, eh dia bilang ma aku katanya di marahi mama & pacarnya. (Kek????). Trs katanya pasti gk boleh pigi"" lagi lah. Lah ini bukber lagi (temen kelas ngajak 2x bukber). Eh dia ngajak lagi ? Kek lo semalam itu bilang kek gitu ngapain Cok?? Nnt pulang malam Bawak"" nama ku kek apaan banget??",61,342,4.213,2,menengah,77.595,aneh ya pas bukber hari itu kan pulang sampai malam eh dia bilang ma aku katanya di marahi mama pacarnya kek trs katanya pasti tidak boleh pigi lagi lah lah ini bukber lagi temen kelas ngajak 2x bukber eh dia ngajak lagi kek lo semalam itu bilang kek gitu ngapain cok nnt pulang malam bawak nama ku kek apaan banget,-1
128035,2025-04-01T12:13:52+00:00," 
 
 
gua kan pernah deket sm ketua basket sekola ya, trs sempet hts an, nah dia punya mantan satu sekola jg, trs pas itu gua liat dia duduk berdua an sambil ketawa' trs pas balik nya tas mantan nya dia bawaain, mksd nya kaya dia lagi ngedeketin gua masa masi deket sama mantan nya, stress anj",55,287,4.127,2,menengah,77.595,gua kan pernah deket sama ketua basket sekola ya trs sempet hts an nah dia punya mantan satu sekola juga trs pas itu gua liat dia duduk berdua an sambil ketawa trs pas balik nya tas mantan nya dia bawaain mksd nya kaya dia lagi ngedeketin gua masa masi deket sama mantan nya stres anj,-1
116384,2024-12-25T08:01:57+00:00," 
 
 
my mom said, ""bagi mama kepintaran itu pentingnya cuma 50% dari 1000%. sisanya itu ngaji sholat karena walaupun kamu pinter tapi sholat dan ngaji mu ga bisa percuma semua itu. mama ga tau kamu pasti jadi orang yang sukses apa tidak karena orang pintar ga selalu sukses yang menentukan itu takdir Allah. jadi walaupun kamu ga sukses kamu punya pegangan ilmu yang lebih besar dari ilmu apapun.",67,391,4.731,2,menengah,77.595,my mom said bagi mama kepintaran itu pentingnya cuma 50 dari 1000 sisanya itu ngaji sholat karena walaupun kamu pinter tapi sholat dan ngaji mu tidak bisa percuma semua itu mama tidak tau kamu pasti jadi orang yang sukses apa tidak karena orang pintar tidak selalu sukses yang menentukan itu takdir allah jadi walaupun kamu tidak sukses kamu punya pegangan ilmu yang lebih besar dari ilmu apapun,-1
139531,2025-10-14T14:10:41+00:00," 
 
 
menurut ku fakta sih padahal yang di sampaikan benar  mau sampe kapan di tutup tutupin gitu, kalaupun jauh banget harus jongkok tuh ya agak aneh   kalau jauh sih harusnya berdiri juga gpp toh juga jarak nya jauh, si kyai nya juga duduk di kursi agak lumayan tinggi,  kalau udah  deket baru agak jongkok sambil nunduk  kalau saliman nggak sampe ngesot juga apa lagi kalau barisan panjang apa kabar yang di  barisan paling belakang sendiri",74,430,4.784,2,menengah,77.595,menurut ku fakta sih padahal yang di sampaikan benar mau sampe kapan di tutup tutupin gitu kalaupun jauh banget harus jongkok tuh ya agak aneh kalau jauh sih harusnya berdiri juga gp toh juga jarak nya jauh si kyai nya juga duduk di kursi agak lumayan tinggi kalau udah deket baru agak jongkok sambil nunduk kalau saliman tidak sampe ngesot juga apa lagi kalau barisan panjang apa kabar yang di barisan paling belakang sendiri,-1
